item_code,name,description,status,is_rentable,category,cost_code,item_unit
2410KDSPF,2 X 4 - 10 2BTR KD SPF,2 X 4 - 10 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2412KDSPF,2 X 4 - 12 2BTR KD SPF,2 X 4 - 12 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2414KDSPF,2 X 4 - 14 2BTR KD SPF,2 X 4 - 14 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2416KDSPF,2 X 4 - 16 2BTR KD SPF,2 X 4 - 16 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2610KDSPF,2 X 6 - 10 2BTR KD SPF,2 X 6 - 10 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2612KDSPF,2 X 6 - 12 2BTR KD SPF,2 X 6 - 12 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2614KDSPF,2 X 6 - 14 2BTR KD SPF,2 X 6 - 14 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2616KDSPF,2 X 6 - 16 2BTR KD SPF,2 X 6 - 16 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21012KDSPF,2 X 10 - 12 2BTR KD SPF,2 X 10 - 12 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21014KDSPF,2 X 10 - 14 2BTR KD SPF,2 X 10 - 14 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21016KDSPF,2 X 10 - 16 2BTR KD SPF,2 X 10 - 16 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21212KDSPF,2 X 12 - 12 2BTR KD SPF,2 X 12 - 12 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21216KDSPF,2 X 12 - 16 2BTR KD SPF,2 X 12 - 16 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2620KDSPF,2 X 6 - 20 2BTR KD SPF,2 X 6 - 20 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21018KDSPF,2 X 10 - 18 2BTR KD SPF,2 X 10 - 18 2BTR KD SPF,1,1,Lumber,2/06/10,ea
21020KDSPF,2 X 10 - 20 2BTR KD SPF,2 X 10 - 20 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2810KDSPF,2 X 8 - 10 A-GRADE KD SPF,2 X 8 - 10 A-GRADE KD SPF,1,1,Lumber,2/06/10,ea
2812KDSPF,2 X 8 - 12 A-GRADE KD SPF,2 X 8 - 12 A-GRADE KD SPF,1,1,Lumber,2/06/10,ea
2618KDSPF,2 X 6 - 18 2BTR KD SPF,2 X 6 - 18 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2408KDSPF,2 X 4 - 08 2BTR KD SPF,2 X 4 - 08 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2608KDSPF,2 X 6 - 08 2BTR KD SPF,2 X 6 - 08 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2418KDSPF,2 X 4 - 18 2BTR KD SPF,2 X 4 - 18 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2420KDSPF,2 X 4 - 20 2BTR KD SPF,2 X 4 - 20 2BTR KD SPF,1,1,Lumber,2/06/10,ea
11012FAS,1 X 10 - 12 PRIMED FASCIA C1S,1 X 10 - 12 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
11014FAS,1 X 10 - 14 PRIMED FASCIA C1S,1 X 10 - 14 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
11212FAS,1 X 12 - 12 PRIMED FASCIA C1S,1 X 12 - 12 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
11214FAS,1 X 12 - 14 PRIMED FASCIA C1S,1 X 12 - 14 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
11216FAS,1 X 12 - 16 PRIMED FASCIA C1S,1 X 12 - 16 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1212COMMON,1 X 2 - 12 COMMON LUMBER,1 X 2 - 12 COMMON LUMBER,1,1,Lumber,2/06/10,ea
1414FAS,1 X 4 - 14 PRIMED FASCIA C1S,1 X 4 - 14 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
49OSB1532,15/32 OSB 4X9 SHEET,15/32 OSB 4X9 SHEET,1,1,Lumber,2/06/10,ea
1208TREATED,1 X 2 - 08 TREATED LUMBER BROWN,1 X 2 - 08 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
1614FAS,1 X 6 - 14 PRIMED FASCIA C1S,1 X 6 - 14 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1814FAS,1 X 8 - 14 PRIMED FASCIA C1S,1 X 8 - 14 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
21014FAS,2 X 10 - 14 PRIMED FASCIA C4S,2 X 10 - 14 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
21016FAS,2 X 10 - 16 DADO PRMD FASCIA C1S,2 X 10 - 16 DADO PRMD FASCIA C1S,1,1,Lumber,2/06/10,ea
21212FAS,2 X 12 - 12 PRIMED FASCIA C4S,2 X 12 - 12 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
21214KDSPF,2 X 12 - 14 2BTR KD SPF,2 X 12 - 14 2BTR KD SPF,1,1,Lumber,2/06/10,ea
2210FAS,2 X 2 - 10 PRIMED FASCIA C4S,2 X 2 - 10 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2492FJSTUD,"2 X 4 -  FJ STUD 92-1/4"" ESSENCE","2 X 4 -  FJ STUD 92-1/4"" ESSENCE",1,1,Lumber,2/06/10,ea
24104FJSTUD,2 X 4 -  FJ STUD 104-1/4 ESSENCE,2 X 4 -  FJ STUD 104-1/4 ESSENCE,1,1,Lumber,2/06/10,ea
2412FAS,2 X 4 - 12 PRIMED FASCIA C4S,2 X 4 - 12 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2692FJSTUD,"2 X 6 -  FJ STUD 92-1/4"" ESSENCE","2 X 6 -  FJ STUD 92-1/4"" ESSENCE",1,1,Lumber,2/06/10,ea
26104FJSTUD,2 X 6 -  FJ STUD 104-1/4 ESSENCE,2 X 6 -  FJ STUD 104-1/4 ESSENCE,1,1,Lumber,2/06/10,ea
2616FAS,2 X 6 - 16 DADO PRMD FASCIA C1S,2 X 6 - 16 DADO PRMD FASCIA C1S,1,1,Lumber,2/06/10,ea
2816HT,2 X 8 - 16 2BTR KD-HT SPRUCE,2 X 8 - 16 2BTR KD-HT SPRUCE,1,1,Lumber,2/06/10,ea
2808TLBRN,2 X 8 - 08 TREATED LUMBER BROWN,2 X 8 - 08 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
2810TLBRN,2 X 8 - 10 TREATED LUMBER BROWN,2 X 8 - 10 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
2812TLBRN,2 X 8 - 12 TREATED LUMBER BROWN,2 X 8 - 12 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
2814TLBRN,2 X 8 - 14 TREATED LUMBER BROWN,2 X 8 - 14 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
1412FAS,1 X 4 - 12 PRIMED FASCIA C1S,1 X 4 - 12 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1416FAS,1 X 4 - 16 PRIMED FASCIA C1S,1 X 4 - 16 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1612FAS,1 X 6 - 12 PRIMED FASCIA C1S,1 X 6 - 12 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1616FAS,1 X 6 - 16 PRIMED FASCIA C1S,1 X 6 - 16 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1812FAS,1 X 8 - 12 PRIMED FASCIA C1S,1 X 8 - 12 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
1816FAS,1 X 8 - 16 PRIMED FASCIA C1S,1 X 8 - 16 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
11016FAS,1 X 10 - 16 PRIMED FASCIA C1S,1 X 10 - 16 PRIMED FASCIA C1S,1,1,Lumber,2/06/10,ea
2612FAS,2 X 6 - 12 PRIMED FASCIA C4S,2 X 6 - 12 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2616FAS,2 X 6 - 16 PRIMED FASCIA C4S,2 X 6 - 16 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2812FAS,2 X 8 - 12 PRIMED FASCIA C4S,2 X 8 - 12 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2816FAS,2 X 8 - 16 PRIMED FASCIA C4S,2 X 8 - 16 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
21012FAS,2 X 10 - 12 PRIMED FASCIA C4S,2 X 10 - 12 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
21016FAS,2 X 10 - 16 PRIMED FASCIA C4S,2 X 10 - 16 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
21216FAS,2 X 12 - 16 PRIMED FASCIA C4S,2 X 12 - 16 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
2416FAS,2 X 4 - 16 PRIMED FASCIA C4S,2 X 4 - 16 PRIMED FASCIA C4S,1,1,Lumber,2/06/10,ea
54616DT,5/4 X 6 - 16 DECKING TREATED BRN,5/4 X 6 - 16 DECKING TREATED BRN,1,1,Lumber,2/06/10,ea
6608TLBRN,6 X 6 - 08 TREATED RGH LBR BROWN,6 X 6 - 08 TREATED RGH LBR BROWN,1,1,Lumber,2/06/10,ea
6610TLBRN,6 X 6 - 10 TREATED RGH LBR BROWN,6 X 6 - 10 TREATED RGH LBR BROWN,1,1,Lumber,2/06/10,ea
6612TLBRN,6 X 6 - 12 TREATED RGH LBR BROWN,6 X 6 - 12 TREATED RGH LBR BROWN,1,1,Lumber,2/06/10,ea
1408TLBRN,1 X 4 - 08 TREATED LUMBER BROWN,1 X 4 - 08 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
1608TLBRN,1 X 6 - 08 TREATED LUMBER BROWN,1 X 6 - 08 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
2208TLBRN,2 X 2 - 08 TREATED LUMBER BROWN,2 X 2 - 08 TREATED LUMBER BROWN,1,1,Lumber,2/06/10,ea
