Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
LVL134512(2.0E),"1 3/4"" x 5 1/2"" 2.0 Microllam LVL ","1 3/4"" x 5 1/2"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL134714(2.0E),"1 3/4"" x 7 1/4"" 2.0 Microllam LVL ","1 3/4"" x 7 1/4"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL134912(2.0E),"1 3/4"" x 9 1/2"" 2.0 Microllam LVL ","1 3/4"" x 9 1/2"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL1341178(2.0E),"1 3/4"" x 11 7/8"" 2.0 Microllam LVL ","1 3/4"" x 11 7/8"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL13414(2.0E),"1 3/4"" x 14"" 2.0 Microllam LVL ","1 3/4"" x 14"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL13416(2.0E),"1 3/4"" x 16"" 2.0 Microllam LVL ","1 3/4"" x 16"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL13418(2.0E),"1 3/4"" x 18"" 2.0 Microllam LVL ","1 3/4"" x 18"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
TJI230912,"TJI Joist 230 9 1/2"" ","TJI Joist 230 9 1/2"" ",02/06/18,EWP,ea,NO
TJI2301178,"TJI Joist 230 11 7/8"" ","TJI Joist 230 11 7/8"" ",02/06/18,EWP,ea,NO
TJI23014,"TJI Joist 230 14"" ","TJI Joist 230 14"" ",02/06/18,EWP,ea,NO
TJI23016,"TJI Joist 230 16"" ","TJI Joist 230 16"" ",02/06/18,EWP,ea,NO
TJI360912,"TJI Joist 360 9 1/2"" ","TJI Joist 360 9 1/2"" ",02/06/18,EWP,ea,NO
TJI3601178,"TJI Joist 360 11 7/8"" ","TJI Joist 360 11 7/8"" ",02/06/18,EWP,ea,NO
TJI36014,"TJI Joist 360 14"" ","TJI Joist 360 14"" ",02/06/18,EWP,ea,NO
TJI36016,"TJI Joist 360 16"" ","TJI Joist 360 16"" ",02/06/18,EWP,ea,NO
TJI5601178,"TJI Joist 560 11 7/8"" ","TJI Joist 560 11 7/8"" ",02/06/18,EWP,ea,NO
TJI56014,"TJI Joist 560 14"" ","TJI Joist 560 14"" ",02/06/18,EWP,ea,NO
TJI56016,"TJI Joist 560 16"" ","TJI Joist 560 16"" ",02/06/18,EWP,ea,NO
ITS2.37/9.5,ITS2.37/9.5,ITS2.37/9.5,02/06/18,EWP,ea,NO
ITS2.37/11.88,ITS2.37/11.88,ITS2.37/11.88,02/06/18,EWP,ea,NO
ITS2.37/14,ITS2.37/14,ITS2.37/14,02/06/18,EWP,ea,NO
ITS2.37/16,ITS2.37/16,ITS2.37/16,02/06/18,EWP,ea,NO
IUS2.37/9.5,IUS2.37/9.5,IUS2.37/9.5,02/06/18,EWP,ea,NO
IUS2.37/11.88,IUS2.37/11.88,IUS2.37/11.88,02/06/18,EWP,ea,NO
IUS2.37/14,IUS2.37/14,IUS2.37/14,02/06/18,EWP,ea,NO
IUS2.37/16,IUS2.37/16,IUS2.37/16,02/06/18,EWP,ea,NO
SUR/L2.37/9,SUR/L2.37/9,SUR/L2.37/9,02/06/18,EWP,ea,NO
SUR/L2.37/11.88,SUR/L2.37/11.88,SUR/L2.37/11.88,02/06/18,EWP,ea,NO
SUR/L2.37/14,SUR/L2.37/14,SUR/L2.37/14,02/06/18,EWP,ea,NO
SUR/L2.37/16,SUR/L2.37/16,SUR/L2.37/16,02/06/18,EWP,ea,NO
ITS3.56/11.88,ITS3.56/11.88,ITS3.56/11.88,02/06/18,EWP,ea,NO
ITS3.56/14,ITS3.56/14,ITS3.56/14,02/06/18,EWP,ea,NO
ITS3.56/16,ITS3.56/16,ITS3.56/16,02/06/18,EWP,ea,NO
IUS3.56/9.5,IUS3.56/9.5,IUS3.56/9.5,02/06/18,EWP,ea,NO
IUS3.56/11.88,IUS3.56/11.88,IUS3.56/11.88,02/06/18,EWP,ea,NO
IUS3.56/14,IUS3.56/14,IUS3.56/14,02/06/18,EWP,ea,NO
IUS3.56/16,IUS3.56/16,IUS3.56/16,02/06/18,EWP,ea,NO
SUR/L410,SUR/L410,SUR/L410,02/06/18,EWP,ea,NO
SUR/L414/14,SUR/L414/14,SUR/L414/14,02/06/18,EWP,ea,NO
MIU2.37/11,MIU2.37/11,MIU2.37/11,02/06/18,EWP,ea,NO
HUC410,HUC410,HUC410,02/06/18,EWP,ea,NO
HUC412,HUC412,HUC412,02/06/18,EWP,ea,NO
HGUS412,HGUS412,HGUS412,02/06/18,EWP,ea,NO
HGUS5.50/12,HGUS5.50/12,HGUS5.50/12,02/06/18,EWP,ea,NO
HUS1.81/10,HUS1.81/10,HUS1.81/10,02/06/18,EWP,ea,NO
HGUS410,HGUS410,HGUS410,02/06/18,EWP,ea,NO
HB1.81X H=11.813,HB1.81X H=11.813,HB1.81X H=11.813,02/06/18,EWP,ea,NO
LT171188,LT171188,LT171188,02/06/18,EWP,ea,NO
LT231188,LT231188,LT231188,02/06/18,EWP,ea,NO
HGUS7.25/10,HGUS7.25/10,HGUS7.25/10,02/06/18,EWP,ea,NO
HGUS5.50/10,HGUS5.50/10,HGUS5.50/10,02/06/18,EWP,ea,NO
HUC610,HUC610,HUC610,02/06/18,EWP,ea,NO
HUCQ410,HUCQ410,HUCQ410,02/06/18,EWP,ea,NO
HUCQ410-SDS2.5  ,HUCQ410-SDS2.5  ,HUCQ410-SDS2.5  ,02/06/18,EWP,ea,NO
HU410,HU410,HU410,02/06/18,EWP,ea,NO
HGUS7.25/10,HGUS7.25/10,HGUS7.25/10,02/06/18,EWP,ea,NO
LUS210,LUS210,LUS210,02/06/18,EWP,ea,NO
LUS28,LUS28,LUS28,02/06/18,EWP,ea,NO
LUS2102,LUS2102,LUS2102,02/06/18,EWP,ea,NO
LUS282,LUS282,LUS282,02/06/18,EWP,ea,NO
482332OSBEGTG,"4X8x23/32"" Edge Gold Panel ","4X8x23/32"" Edge Gold Panel ",02/06/18,EWP,ea,NO
481932OSBEGTG,"4X8x19/32"" Edge Gold Panel ","4X8x19/32"" Edge Gold Panel ",02/06/18,EWP,ea,NO
481932OSBSQ,"4X8x19/32"" OSB Sqaure Edge","4X8x19/32"" OSB Sqaure Edge",02/06/18,EWP,ea,NO
482332OSBSQ,"4X8x23/32"" OSB Sqaure Edge","4X8x23/32"" OSB Sqaure Edge",02/06/18,EWP,ea,NO
4878OSBEGTG,"4X8x7/8"" OSB T&G PANEL","4X8x7/8"" OSB T&G PANEL",02/06/18,EWP,ea,NO
481932OSBTG,"4X8x19/32"" OSB T&G PANEL","4X8x19/32"" OSB T&G PANEL",02/06/18,EWP,ea,NO
482332OSBTG,"4X8x23/32"" OSB T&G PANEL","4X8x23/32"" OSB T&G PANEL",02/06/18,EWP,ea,NO
4858FIRTG,"4X8x5/8"" FIR T&G PLY ","4X8x5/8"" FIR T&G PLY ",02/06/18,EWP,ea,NO
4834FIRTG,"4X8x3/4"" FIR T&G PLY ","4X8x3/4"" FIR T&G PLY ",02/06/18,EWP,ea,NO
1212COMN,1 X 2 - 12 COMMON LUMBER,1 X 2 - 12 COMMON LUMBER,02/06/10,Lumber,ea,NO
1412COMN,1 X 4 - 12 COMMON LBR,1 X 4 - 12 COMMON LBR,02/06/10,Lumber,ea,NO
2408SPFKD,2 X 4 - 08 2BTR KD SPRUCE,2 X 4 - 08 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2410SPFKD,2 X 4 - 10 2BTR KD SPRUCE,2 X 4 - 10 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2412SPFKD,2 X 4 - 12 2BTR KD SPRUCE,2 X 4 - 12 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2414SPFKD,2 X 4 - 14 2BTR KD SPRUCE,2 X 4 - 14 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2416SFKD,2 X 4 - 16 2BTR KD SPRUCE,2 X 4 - 16 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2418SPFKD,2 X 4 - 18 2BTR KD SPRUCE,2 X 4 - 18 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2420SPFKD,2 X 4 - 20 2BTR KD SPRUCE,2 X 4 - 20 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2608SPFKD,2 X 6 - 08 2BTR KD SPRUCE,2 X 6 - 08 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2610SPFKD,2 X 6 - 10 2BTR KD SPRUCE,2 X 6 - 10 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2612SPFDK,2 X 6 - 12 2BTR KD SPRUCE,2 X 6 - 12 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2612PSFKD,2 X 6 - 14 2BTR KD SPRUCE,2 X 6 - 14 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2616SPFKD,2 X 6 - 16 2BTR KD SPRUCE,2 X 6 - 16 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2618SPFKD,2 X 6 - 18 2BTR KD SPRUCE,2 X 6 - 18 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2620SPFKD,2 X 6 - 20 2BTR KD SPRUCE,2 X 6 - 20 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2810SPFKDA,2 X 8 - 10 A-GRADE KD SPRUCE,2 X 8 - 10 A-GRADE KD SPRUCE,02/06/10,Lumber,ea,NO
2812SPFKDA,2 X 8 - 12 A-GRADE KD SPRUCE,2 X 8 - 12 A-GRADE KD SPRUCE,02/06/10,Lumber,ea,NO
2816SPFKDHT,2 X 8 - 16 2BTR KD-HT SPRUCE,2 X 8 - 16 2BTR KD-HT SPRUCE,02/06/10,Lumber,ea,NO
21012SPFKD,2 X 10 - 12 2BTR KD SPRUCE,2 X 10 - 12 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21014SPFKD,2 X 10 - 14 2BTR KD SPRUCE,2 X 10 - 14 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21016SPFKD,2 X 10 - 16 2BTR KD SPRUCE,2 X 10 - 16 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21018SPFKD,2 X 10 - 18 2BTR KD SPRUCE,2 X 10 - 18 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21020SPFKD,2 X 10 - 20 2BTR KD SPRUCE,2 X 10 - 20 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
