item_code,name,description,status,is_rentable,category,cost_code,item_unit
PSL71178(2.2E),"7"" x 11 7/8"" 2.2E Parallam PSL ","7"" x 11 7/8"" 2.2E Parallam PSL ",1,0,EWP,2/06/18,ea
PSL714(2.2E),"7"" x 14"" 2.2E Parallam PSL ","7"" x 14"" 2.2E Parallam PSL ",1,0,EWP,2/06/18,ea
PSL716(2.2E),"7"" x 16"" 2.2E Parallam PSL ","7"" x 16"" 2.2E Parallam PSL ",1,0,EWP,2/06/18,ea
PSL718(2.2E),"7"" x 18"" 2.2E Parallam PSL ","7"" x 18"" 2.2E Parallam PSL ",1,0,EWP,2/06/18,ea
PSLCP312312(1.8E),"3 1/2"" x 3 1/2"" 1.8E Parallam PSL Column/Post","3 1/2"" x 3 1/2"" 1.8E Parallam PSL Column/Post",1,0,EWP,2/06/18,ea
PSLCP312514(1.8E),"3 1/2"" x 5 1/4"" 1.8E Parallam PSL  Column/Post","3 1/2"" x 5 1/4"" 1.8E Parallam PSL  Column/Post",1,0,EWP,2/06/18,ea
PSLCP3127(1.8E),"3 1/2"" x 7"" 1.8E Parallam PSL  Column/Post","3 1/2"" x 7"" 1.8E Parallam PSL  Column/Post",1,0,EWP,2/06/18,ea
PSLCP514514(1.8E),"5 1/4"" x 5 1/4"" 1.8E Parallam PSL  Column/Post","5 1/4"" x 5 1/4"" 1.8E Parallam PSL  Column/Post",1,0,EWP,2/06/18,ea
PSLCP5147(1.8E),"5 1/4"" x 7"" 1.8E Parallam PSL  Column/Post","5 1/4"" x 7"" 1.8E Parallam PSL  Column/Post",1,0,EWP,2/06/18,ea
PSLCP77(1.8E),"7"" x 7"" 1.8E Parallam PSL  Column/Post","7"" x 7"" 1.8E Parallam PSL  Column/Post",1,0,EWP,2/06/18,ea
LSL134912(1.55E),"1 3/4"" x 9 1/2"" 1.55 Timberstrand LSL ","1 3/4"" x 9 1/2"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL1341178(1.55E),"1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ","1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL13414(1.55E),"1 3/4"" x 14"" 1.55 Timberstrand LSL ","1 3/4"" x 14"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL13416(1.55E),"1 3/4"" x 16"" 1.55 Timberstrand LSL ","1 3/4"" x 16"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL134912(1.3E),"1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)",1,0,EWP,2/06/18,ea
LSL1341178(1.3E),"1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)",1,0,EWP,2/06/18,ea
LSL13414(1.3E),"1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)",1,0,EWP,2/06/18,ea
LSL13416(1.3E),"1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)",1,0,EWP,2/06/18,ea
LSL312912(1.55E),"3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ","3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
