Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
1212COMN,1 X 2 - 12 COMMON LUMBER,1 X 2 - 12 COMMON LUMBER,2/06/10,Lumber,ea,NO
1412COMN,1 X 4 - 12 COMMON LBR,1 X 4 - 12 COMMON LBR,2/06/10,Lumber,ea,NO
2408SPFKD,2 X 4 - 08 2BTR KD SPRUCE,2 X 4 - 08 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2410SPFKD,2 X 4 - 10 2BTR KD SPRUCE,2 X 4 - 10 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2412SPFKD,2 X 4 - 12 2BTR KD SPRUCE,2 X 4 - 12 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2414SPFKD,2 X 4 - 14 2BTR KD SPRUCE,2 X 4 - 14 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2416SFKD,2 X 4 - 16 2BTR KD SPRUCE,2 X 4 - 16 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2418SPFKD,2 X 4 - 18 2BTR KD SPRUCE,2 X 4 - 18 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2420SPFKD,2 X 4 - 20 2BTR KD SPRUCE,2 X 4 - 20 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2608SPFKD,2 X 6 - 08 2BTR KD SPRUCE,2 X 6 - 08 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2610SPFKD,2 X 6 - 10 2BTR KD SPRUCE,2 X 6 - 10 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2612SPFDK,2 X 6 - 12 2BTR KD SPRUCE,2 X 6 - 12 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2612PSFKD,2 X 6 - 14 2BTR KD SPRUCE,2 X 6 - 14 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2616SPFKD,2 X 6 - 16 2BTR KD SPRUCE,2 X 6 - 16 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2618SPFKD,2 X 6 - 18 2BTR KD SPRUCE,2 X 6 - 18 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2620SPFKD,2 X 6 - 20 2BTR KD SPRUCE,2 X 6 - 20 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2810SPFKDA,2 X 8 - 10 A-GRADE KD SPRUCE,2 X 8 - 10 A-GRADE KD SPRUCE,2/06/10,Lumber,ea,NO
2812SPFKDA,2 X 8 - 12 A-GRADE KD SPRUCE,2 X 8 - 12 A-GRADE KD SPRUCE,2/06/10,Lumber,ea,NO
2816SPFKDHT,2 X 8 - 16 2BTR KD-HT SPRUCE,2 X 8 - 16 2BTR KD-HT SPRUCE,2/06/10,Lumber,ea,NO
21012SPFKD,2 X 10 - 12 2BTR KD SPRUCE,2 X 10 - 12 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21014SPFKD,2 X 10 - 14 2BTR KD SPRUCE,2 X 10 - 14 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21016SPFKD,2 X 10 - 16 2BTR KD SPRUCE,2 X 10 - 16 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21018SPFKD,2 X 10 - 18 2BTR KD SPRUCE,2 X 10 - 18 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21020SPFKD,2 X 10 - 20 2BTR KD SPRUCE,2 X 10 - 20 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21212SPFKD,2 X 12 - 12 2BTR KD SPRUCE,2 X 12 - 12 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21214SPFKD,2 X 12 - 14 2BTR KD SPRUCE,2 X 12 - 14 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
21216SPFKD,1 X 12 - 16 2BTR KD SPRUCE,1 X 12 - 16 2BTR KD SPRUCE,2/06/10,Lumber,ea,NO
2414FIRKD,2 X 4 - 14 2BTR KD FIR,2 X 4 - 14 2BTR KD FIR,2/06/10,Lumber,ea,NO
2420FIRKD,2 X 4 - 20 2BTR KD FIR,2 X 4 - 20 2BTR KD FIR,2/06/10,Lumber,ea,NO
2614FIRKD,2 X 6 - 14 2BTR KD FIR,2 X 6 - 14 2BTR KD FIR,2/06/10,Lumber,ea,NO
2620FIRKD,2 X 6 - 20 2BTR KD FIR,2 X 6 - 20 2BTR KD FIR,2/06/10,Lumber,ea,NO
4838SPRUCE,"4X8 x 3/8"" SPRUCE PLY SHEATHING","4X8 x 3/8"" SPRUCE PLY SHEATHING",2/06/10,Panel,ea,NO
4812SPRUCE,"4X8 x 1/2"" SPRUCE PLY SHEATHING","4X8 x 1/2"" SPRUCE PLY SHEATHING",2/06/10,Panel,ea,NO
4858SPRUCE,"4X8 x 5/8"" SPRUCE PLY SHEATHING","4X8 x 5/8"" SPRUCE PLY SHEATHING",2/06/10,Panel,ea,NO
