Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
4834SPRUCE,"4X 8 x 3/4"" SPRUCE PLY SHEATHING","4X 8 x 3/4"" SPRUCE PLY SHEATHING",2/06/10,Panel,ea,NO
4838FIR,"4X8 x 3/8"" FIR PLY SHEATHING","4X8 x 3/8"" FIR PLY SHEATHING",2/06/10,Panel,ea,NO
4812FIR,"4X8 x 1/2"" FIR PLY SHEATHING","4X8 x 1/2"" FIR PLY SHEATHING",2/06/10,Panel,ea,NO
4858FIR,"4X8 x 5/8"" FIR PLY SHEATHING","4X8 x 5/8"" FIR PLY SHEATHING",2/06/10,Panel,ea,NO
4834FIR,"4X8 x 3/4"" FIR PLY SHEATHING","4X8 x 3/4"" FIR PLY SHEATHING",2/06/10,Panel,ea,NO
481FIR,"4X8 x 1"" FIR PLY SHEATHING","4X8 x 1"" FIR PLY SHEATHING",2/06/10,Panel,ea,NO
4838OSB,"4X8 x 3/8"" OSB SHEATHING","4X8 x 3/8"" OSB SHEATHING",2/06/10,Panel,ea,NO
48716OSB,"4X8 x 7/16"" OSB SHEATHING","4X8 x 7/16"" OSB SHEATHING",2/06/10,Panel,ea,NO
4812OSB,"4X8 x 1/2"" OSB SHEATHING","4X8 x 1/2"" OSB SHEATHING",2/06/10,Panel,ea,NO
REBAR1520,REBAR 15MM X 20',REBAR 15MM X 20',2/03/20,Rebar,ea,NO
REBAR152CORN,REBAR 90 15MM 2'X2' CORNER,REBAR 90 15MM 2'X2' CORNER,2/03/20,Rebar,ea,NO
REBARTIE616,"REBAR LOOP TIES 6"" 16 GAUGE","REBAR LOOP TIES 6"" 16 GAUGE",2/03/20,Rebar,ea,NO
