Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
SDS25412,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25412-R10,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25412MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X4 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25500,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""",2-06-18,Fastening Systems,ea,NO
SDS25500-R10,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""",2-06-18,Fastening Systems,ea,NO
SDS25500-R25L,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""",2-06-18,Fastening Systems,ea,NO
SDS25500MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X5""",2-06-18,Fastening Systems,ea,NO
SDS25600,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""",2-06-18,Fastening Systems,ea,NO
SDS25600-R10,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""",2-06-18,Fastening Systems,ea,NO
SDS25600MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X6""",2-06-18,Fastening Systems,ea,NO
SDS25800,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""",2-06-18,Fastening Systems,ea,NO
SDS25800-R10,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""",2-06-18,Fastening Systems,ea,NO
SDS25800-R50,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X8""",2-06-18,Fastening Systems,ea,NO
SDW22338,"SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""","SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""",2-06-18,Fastening Systems,ea,NO
SDW22338-R50,"SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""","SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""",2-06-18,Fastening Systems,ea,NO
SDW22338MB,"SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""","SIMPSON SDW EWP-PLY Screw 0.225""X3 3/8""",2-06-18,Fastening Systems,ea,NO
SDW22500,"SIMPSON SDW EWP-PLY Screw 0.225""X5""","SIMPSON SDW EWP-PLY Screw 0.225""X5""",2-06-18,Fastening Systems,ea,NO
SDW22500-R50,"SIMPSON SDW EWP-PLY Screw 0.225""X5""","SIMPSON SDW EWP-PLY Screw 0.225""X5""",2-06-18,Fastening Systems,ea,NO
SDW22500MB,"SIMPSON SDW EWP-PLY Screw 0.225""X5""","SIMPSON SDW EWP-PLY Screw 0.225""X5""",2-06-18,Fastening Systems,ea,NO
SDW22634,"SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""","SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""",2-06-18,Fastening Systems,ea,NO
SDW22634-R50,"SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""","SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""",2-06-18,Fastening Systems,ea,NO
SDW22634MB,"SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""","SIMPSON SDW EWP-PLY Screw 0.225""X6 3/4""",2-06-18,Fastening Systems,ea,NO
A21,SIMPSON A21 Angle,SIMPSON A21 Angle,2-06-18,Wood Construction Connectors,ea,NO
A23,SIMPSON A23 Angle,SIMPSON A23 Angle,2-06-18,Wood Construction Connectors,ea,NO
A33,SIMPSON A33 Angle,SIMPSON A33 Angle,2-06-18,Wood Construction Connectors,ea,NO
A44,SIMPSON A44 Angle,SIMPSON A44 Angle,2-06-18,Wood Construction Connectors,ea,NO
A66,SIMPSON A66 Angle,SIMPSON A66 Angle,2-06-18,Wood Construction Connectors,ea,NO
A88,SIMPSON A88 Angle,SIMPSON A88 Angle,2-06-18,Wood Construction Connectors,ea,NO
A24,SIMPSON A24 Angle,SIMPSON A24 Angle,2-06-18,Wood Construction Connectors,ea,NO
A311,SIMPSON A311 Angle,SIMPSON A311 Angle,2-06-18,Wood Construction Connectors,ea,NO
A34,SIMPSON A34 Framing Angle,SIMPSON A34 Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
A34SS,SIMPSON A34SS Framing Angle,SIMPSON A34SS Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
A34Z,SIMPSON A34Z Framing Angle,SIMPSON A34Z Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
A35,SIMPSON A35 Framing Angle,SIMPSON A35 Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
A35SS,SIMPSON A35SS Framing Angle,SIMPSON A35SS Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
A35Z,SIMPSON A35Z Framing Angle,SIMPSON A35Z Framing Angle,2-06-18,Wood Construction Connectors,ea,NO
HTT4,SIMPSON HTT4 Heavy Tension Tie,SIMPSON HTT4 Heavy Tension Tie,2-06-18,Wood Construction Connectors,ea,NO
